ByteBufUtil,0.6956521739130435,0.6014492753623188,4.0,652,27,2,0.142857143,0,7,io.netty.buffer.ByteBufUtil
ByteBufAllocator,1.0,1.0,1.0,117,20,0,0.0,0,3,io.netty.buffer.ByteBufAllocator
PooledDirectByteBuf,0.0,0.0,1.5116279069767442,344,41,1,1.0,0,5,io.netty.buffer.PooledDirectByteBuf
ReadOnlyByteBuf,0.6825396825396826,1.0,1.4074074074074074,291,53,1,0.981481481,3,6,io.netty.buffer.ReadOnlyByteBuf
UnreleasableByteBuf,0.23809523809523808,0.0,1.4166666666666667,78,11,1,0.916666667,2,3,io.netty.buffer.UnreleasableByteBuf
SwappedByteBuf,0.8240343347639485,0.625,1.087837837837838,838,147,1,0.993243243,1,3,io.netty.buffer.SwappedByteBuf
SlicedByteBuf,0.9175257731958762,0.7142857142857143,1.2790697674418605,279,41,1,0.976190476,3,6,io.netty.buffer.SlicedByteBuf
PoolArena,0.6625,0.5196850393700787,2.35,661,45,4,1.0,1,11,io.netty.buffer.PoolArena
DefaultByteBufHolder,0.0,0.0,1.3333333333333333,77,11,1,0.916666667,1,2,io.netty.buffer.DefaultByteBufHolder
PooledByteBuf,0.7794117647058824,0.375,2.0,146,14,2,1.0,3,9,io.netty.buffer.PooledByteBuf
AbstractByteBufAllocator,0.4935064935064935,0.45098039215686275,2.6153846153846154,232,24,4,0.88,1,7,io.netty.buffer.AbstractByteBufAllocator
ByteBuf,0.5,1.0,1.0,1858,144,0,0.027586207,0,4,io.netty.buffer.ByteBuf
PooledByteBufAllocator,0.7154471544715447,0.5333333333333333,2.0,364,15,9,0.5,2,11,io.netty.buffer.PooledByteBufAllocator
CompositeByteBuf,0.7797297297297298,0.6219081272084805,2.6865671641791047,1647,126,3,0.834645669,3,7,io.netty.buffer.CompositeByteBuf
PoolArenaMetric,1.0,1.0,1.0,110,21,0,0.0,0,2,io.netty.buffer.PoolArenaMetric
PoolThreadCache,0.576271186440678,0.5094339622641509,2.3846153846153846,454,20,2,0.714285714,0,7,io.netty.buffer.PoolThreadCache
PoolSubpage,0.8181818181818182,0.5892857142857143,2.764705882352941,235,15,1,0.875,1,2,io.netty.buffer.PoolSubpage
PoolChunk,0.8289473684210527,0.5675675675675675,2.25,425,22,6,0.695652174,1,6,io.netty.buffer.PoolChunk
Unpooled,0.8351648351648352,0.8277777777777777,3.979591836734694,840,48,1,0.020408163,0,15,io.netty.buffer.Unpooled
UnpooledByteBufAllocator,0.7777777777777778,0.5,1.25,43,3,0,0.75,2,6,io.netty.buffer.UnpooledByteBufAllocator
FixedCompositeByteBuf,0.41735537190082644,0.3698630136986301,2.673076923076923,542,50,6,0.960784314,3,6,io.netty.buffer.FixedCompositeByteBuf
PoolChunkListMetric,1.0,1.0,1.0,15,2,0,0.0,0,1,io.netty.buffer.PoolChunkListMetric
UnsafeDirectSwappedByteBuf,0.9032258064516129,0.5,1.24,164,24,1,0.96,2,3,io.netty.buffer.UnsafeDirectSwappedByteBuf
AbstractDerivedByteBuf,0.5217391304347826,0.75,1.3636363636363635,72,10,0,0.818181818,2,2,io.netty.buffer.AbstractDerivedByteBuf
ReadOnlyByteBufferBuf,0.41904761904761906,0.13636363636363635,1.6818181818181819,306,43,2,0.977272727,3,5,io.netty.buffer.ReadOnlyByteBufferBuf
PooledSlicedByteBuf,0.9166666666666666,1.0,1.0,37,4,1,1.0,4,3,io.netty.buffer.PooledSlicedByteBuf
AbstractByteBuf,0.8521739130434782,0.7289156626506024,1.8832116788321167,1125,136,2,0.97080292,1,7,io.netty.buffer.AbstractByteBuf
